date,state,cases
2020-03-04,Maryland,0
2020-03-04,Massachusetts,6
2020-03-04,Michigan,0
2020-03-04,Minnesota,0
2020-03-04,Mississippi,0
2020-03-04,Missouri,1
2020-03-04,Montana,0
2020-03-04,Nebraska,0
2020-03-04,Nevada,0
2020-03-04,New Hampshire,2
2020-03-04,New Jersey,0
2020-03-04,New Mexico,0
2020-03-04,New York,10
2020-03-04,North Carolina,1
2020-03-04,North Dakota,0
2020-03-04,Ohio,0
2020-03-04,Oklahoma,0
2020-03-04,Oregon,3
2020-03-04,Pennsylvania,0
2020-03-04,Rhode Island,2
2020-03-04,South Carolina,0
2020-03-04,South Dakota,0
2020-03-04,Tennessee,0
2020-03-04,Texas,0
2020-03-04,Utah,0
2020-03-04,Vermont,0
2020-03-04,Virginia,0
2020-03-04,Washington,39
2020-03-04,West Virginia,0
2020-03-04,Wisconsin,0
2020-03-04,Wyoming,0
2020-03-05,Alabama,0
2020-03-05,Alaska,0
2020-03-05,Arizona,1
2020-03-05,Arkansas,0
2020-03-05,California,50
2020-03-05,Colorado,2
2020-03-05,Connecticut,0
2020-03-05,Delaware,0
2020-03-05,Florida,3
2020-03-05,Georgia,2
2020-03-05,Hawaii,0
2020-03-05,Idaho,0
2020-03-05,Illinois,5
2020-03-05,Indiana,0
2020-03-05,Iowa,0
2020-03-05,Kansas,0
2020-03-05,Kentucky,0
2020-03-05,Louisiana,0
2020-03-05,Maine,0
2020-03-05,Maryland,0
2020-03-05,Massachusetts,14
2020-03-05,Michigan,0
2020-03-05,Minnesota,0
2020-03-05,Mississippi,0
2020-03-05,Missouri,1
2020-03-05,Montana,0
2020-03-05,Nebraska,0
2020-03-05,Nevada,1
2020-03-05,New Hampshire,2
2020-03-05,New Jersey,2
2020-03-05,New Mexico,0
2020-03-05,New York,21
2020-03-05,North Carolina,1
2020-03-05,North Dakota,0
2020-03-05,Ohio,0
2020-03-05,Oklahoma,0
2020-03-05,Oregon,3
2020-03-05,Pennsylvania,0
2020-03-05,Rhode Island,2
2020-03-05,South Carolina,0
2020-03-05,South Dakota,0
2020-03-05,Tennessee,1
2020-03-05,Texas,3
2020-03-05,Utah,0
2020-03-05,Vermont,0
2020-03-05,Virginia,0
2020-03-05,Washington,70
2020-03-05,West Virginia,0
2020-03-05,Wisconsin,0
2020-03-05,Wyoming,0
2020-03-06,Alabama,0
2020-03-06,Alaska,0
2020-03-06,Arizona,2
2020-03-06,Arkansas,0
2020-03-06,California,68
2020-03-06,Colorado,8
2020-03-06,Connecticut,0
2020-03-06,Delaware,0
2020-03-06,Florida,3
2020-03-06,Georgia,3
2020-03-06,Hawaii,0
2020-03-06,Idaho,0
2020-03-06,Illinois,5
2020-03-06,Indiana,1
2020-03-06,Iowa,0
2020-03-06,Kansas,0
2020-03-06,Kentucky,1
2020-03-06,Louisiana,0
2020-03-06,Maine,0
2020-03-06,Maryland,3
2020-03-06,Massachusetts,28
2020-03-06,Michigan,0
2020-03-06,Minnesota,1
2020-03-06,Mississippi,0
2020-03-06,Missouri,1
2020-03-06,Montana,0
2020-03-06,Nebraska,1
2020-03-06,Nevada,2
2020-03-06,New Hampshire,2
2020-03-06,New Jersey,2
2020-03-06,New Mexico,0
2020-03-06,New York,24
2020-03-06,North Carolina,2
2020-03-06,North Dakota,0
2020-03-06,Ohio,0
2020-03-06,Oklahoma,0
2020-03-06,Oregon,3
2020-03-06,Pennsylvania,2
2020-03-06,Rhode Island,2
2020-03-06,South Carolina,0
2020-03-06,South Dakota,0
2020-03-06,Tennessee,1
2020-03-06,Texas,4
2020-03-06,Utah,0
2020-03-06,Vermont,0
2020-03-06,Virginia,0
2020-03-06,Washington,78
2020-03-06,West Virginia,0
2020-03-06,Wisconsin,0
2020-03-06,Wyoming,0
2020-03-07,Alabama,0
2020-03-07,Alaska,0
2020-03-07,Arizona,4
2020-03-07,Arkansas,0
2020-03-07,California,94
2020-03-07,Colorado,8
2020-03-07,Connecticut,0
2020-03-07,Delaware,0
2020-03-07,Florida,7
2020-03-07,Georgia,5
2020-03-07,Hawaii,1
2020-03-07,Idaho,0
2020-03-07,Illinois,6
2020-03-07,Indiana,1
2020-03-07,Iowa,0
2020-03-07,Kansas,0
2020-03-07,Kentucky,1
2020-03-07,Louisiana,0
2020-03-07,Maine,0
2020-03-07,Maryland,3
2020-03-07,Massachusetts,72
2020-03-07,Michigan,0
2020-03-07,Minnesota,1
2020-03-07,Mississippi,0
2020-03-07,Missouri,1
2020-03-07,Montana,0
2020-03-07,Nebraska,1
2020-03-07,Nevada,2
2020-03-07,New Hampshire,2
2020-03-07,New Jersey,4
2020-03-07,New Mexico,0
2020-03-07,New York,76
2020-03-07,North Carolina,2
2020-03-07,North Dakota,0
2020-03-07,Ohio,0
2020-03-07,Oklahoma,1
2020-03-07,Oregon,6
2020-03-07,Pennsylvania,2
2020-03-07,Rhode Island,3
2020-03-07,South Carolina,2
2020-03-07,South Dakota,0
2020-03-07,Tennessee,1
2020-03-07,Texas,8
2020-03-07,Utah,1
2020-03-07,Vermont,0
2020-03-07,Virginia,0
2020-03-07,Washington,102
2020-03-07,West Virginia,0
2020-03-07,Wisconsin,0
2020-03-07,Wyoming,0
2020-03-08,Alabama,0
2020-03-08,Alaska,0
2020-03-08,Arizona,4
2020-03-08,Arkansas,0
2020-03-08,California,113
2020-03-08,Colorado,8
2020-03-08,Connecticut,0
2020-03-08,Delaware,0
2020-03-08,Florida,10
2020-03-08,Georgia,5
2020-03-08,Hawaii,1
2020-03-08,Idaho,0
2020-03-08,Illinois,7
2020-03-08,Indiana,2
2020-03-08,Iowa,0
2020-03-08,Kansas,1
2020-03-08,Kentucky,1
2020-03-08,Louisiana,0
2020-03-08,Maine,0
2020-03-08,Maryland,5
2020-03-08,Massachusetts,91
2020-03-08,Michigan,0
2020-03-08,Minnesota,1
2020-03-08,Mississippi,0
2020-03-08,Missouri,2
2020-03-08,Montana,0
2020-03-08,Nebraska,1
2020-03-08,Nevada,4
2020-03-08,New Hampshire,4
2020-03-08,New Jersey,5
2020-03-08,New Mexico,0
2020-03-08,New York,105
2020-03-08,North Carolina,2
2020-03-08,North Dakota,0
2020-03-08,Ohio,0
2020-03-08,Oklahoma,1
2020-03-08,Oregon,14
2020-03-08,Pennsylvania,6
2020-03-08,Rhode Island,3
2020-03-08,South Carolina,2
2020-03-08,South Dakota,0
2020-03-08,Tennessee,3
2020-03-08,Texas,11
2020-03-08,Utah,1
2020-03-08,Vermont,1
2020-03-08,Virginia,2
2020-03-08,Washington,122
2020-03-08,West Virginia,0
2020-03-08,Wisconsin,0
2020-03-08,Wyoming,0
2020-03-09,Alabama,0
2020-03-09,Alaska,0
2020-03-09,Arizona,4
2020-03-09,Arkansas,0
2020-03-09,California,136
2020-03-09,Colorado,12
2020-03-09,Connecticut,0
2020-03-09,Delaware,0
2020-03-09,Florida,13
2020-03-09,Georgia,10
2020-03-09,Hawaii,1
2020-03-09,Idaho,0
2020-03-09,Illinois,7
2020-03-09,Indiana,3
2020-03-09,Iowa,3
2020-03-09,Kansas,1
2020-03-09,Kentucky,4
2020-03-09,Louisiana,0
2020-03-09,Maine,0
2020-03-09,Maryland,5
2020-03-09,Massachusetts,96
2020-03-09,Michigan,0
2020-03-09,Minnesota,2
2020-03-09,Mississippi,0
2020-03-09,Missouri,2
2020-03-09,Montana,0
2020-03-09,Nebraska,3
2020-03-09,Nevada,4
2020-03-09,New Hampshire,4
2020-03-09,New Jersey,5
2020-03-09,New Mexico,0
2020-03-09,New York,138
2020-03-09,North Carolina,7
2020-03-09,North Dakota,0
2020-03-09,Ohio,0
2020-03-09,Oklahoma,1
2020-03-09,Oregon,14
2020-03-09,Pennsylvania,7
2020-03-09,Rhode Island,3
2020-03-09,South Carolina,3
2020-03-09,South Dakota,0
2020-03-09,Tennessee,3
2020-03-09,Texas,13
2020-03-09,Utah,1
2020-03-09,Vermont,1
2020-03-09,Virginia,2
2020-03-09,Washington,122
2020-03-09,West Virginia,0
2020-03-09,Wisconsin,0
2020-03-09,Wyoming,0
2020-03-10,Alabama,0
2020-03-10,Alaska,0
2020-03-10,Arizona,6
2020-03-10,Arkansas,0
2020-03-10,California,158
2020-03-10,Colorado,17
2020-03-10,Connecticut,1
2020-03-10,Delaware,0
2020-03-10,Florida,15
2020-03-10,Georgia,17
2020-03-10,Hawaii,3
2020-03-10,Idaho,0
2020-03-10,Illinois,12
2020-03-10,Indiana,6
2020-03-10,Iowa,8
2020-03-10,Kansas,1
2020-03-10,Kentucky,5
2020-03-10,Louisiana,0
2020-03-10,Maine,0
2020-03-10,Maryland,8
2020-03-10,Massachusetts,110
2020-03-10,Michigan,0
2020-03-10,Minnesota,2
2020-03-10,Mississippi,0
2020-03-10,Missouri,2
2020-03-10,Montana,0
2020-03-10,Nebraska,3
2020-03-10,Nevada,4
2020-03-10,New Hampshire,4
2020-03-10,New Jersey,15
2020-03-10,New Mexico,0
2020-03-10,New York,152
2020-03-10,North Carolina,7
2020-03-10,North Dakota,0
2020-03-10,Ohio,3
2020-03-10,Oklahoma,2
2020-03-10,Oregon,14
2020-03-10,Pennsylvania,12
2020-03-10,Rhode Island,3
2020-03-10,South Carolina,7
2020-03-10,South Dakota,0
2020-03-10,Tennessee,3
2020-03-10,Texas,16
2020-03-10,Utah,2
2020-03-10,Vermont,1
2020-03-10,Virginia,8
2020-03-10,Washington,162
2020-03-10,West Virginia,0
2020-03-10,Wisconsin,3
2020-03-10,Wyoming,0
2020-03-11,Alabama,3
2020-03-11,Alaska,0
2020-03-11,Arizona,9
2020-03-11,Arkansas,0
2020-03-11,California,183
2020-03-11,Colorado,34
2020-03-11,Connecticut,3
2020-03-11,Delaware,1
2020-03-11,Florida,24
2020-03-11,Georgia,23
2020-03-11,Hawaii,2
2020-03-11,Idaho,0
2020-03-11,Illinois,25
2020-03-11,Indiana,11
2020-03-11,Iowa,13
2020-03-11,Kansas,1
2020-03-11,Kentucky,8
2020-03-11,Louisiana,5
2020-03-11,Maine,0
2020-03-11,Maryland,9
2020-03-11,Massachusetts,132
2020-03-11,Michigan,2
2020-03-11,Minnesota,5
2020-03-11,Mississippi,0
2020-03-11,Missouri,2
2020-03-11,Montana,0
2020-03-11,Nebraska,5
2020-03-11,Nevada,7
2020-03-11,New Hampshire,5
2020-03-11,New Jersey,23
2020-03-11,New Mexico,3
2020-03-11,New York,216
2020-03-11,North Carolina,9
2020-03-11,North Dakota,0
2020-03-11,Ohio,4
2020-03-11,Oklahoma,2
2020-03-11,Oregon,19
2020-03-11,Pennsylvania,16
2020-03-11,Rhode Island,5
2020-03-11,South Carolina,10
2020-03-11,South Dakota,8
2020-03-11,Tennessee,9
2020-03-11,Texas,21
2020-03-11,Utah,3
2020-03-11,Vermont,1
2020-03-11,Virginia,9
2020-03-11,Washington,282
2020-03-11,West Virginia,0
2020-03-11,Wisconsin,4
2020-03-11,Wyoming,0
2020-03-12,Alabama,4
2020-03-12,Alaska,0
2020-03-12,Arizona,9
2020-03-12,Arkansas,0
2020-03-12,California,226
2020-03-12,Colorado,49
2020-03-12,Connecticut,5
2020-03-12,Delaware,1
2020-03-12,Florida,30
2020-03-12,Georgia,31
2020-03-12,Hawaii,2
2020-03-12,Idaho,0
2020-03-12,Illinois,32
2020-03-12,Indiana,13
2020-03-12,Iowa,14
2020-03-12,Kansas,4
2020-03-12,Kentucky,10
2020-03-12,Louisiana,19
2020-03-12,Maine,1
2020-03-12,Maryland,12
2020-03-12,Massachusetts,161
2020-03-12,Michigan,3
2020-03-12,Minnesota,9
2020-03-12,Mississippi,1
2020-03-12,Missouri,2
2020-03-12,Montana,0
2020-03-12,Nebraska,10
2020-03-12,Nevada,10
2020-03-12,New Hampshire,6
2020-03-12,New Jersey,29
2020-03-12,New Mexico,5
2020-03-12,New York,296
2020-03-12,North Carolina,17
2020-03-12,North Dakota,1
2020-03-12,Ohio,5
2020-03-12,Oklahoma,3
2020-03-12,Oregon,24
2020-03-12,Pennsylvania,22
2020-03-12,Rhode Island,3
2020-03-12,South Carolina,7
2020-03-12,South Dakota,7
2020-03-12,Tennessee,18
2020-03-12,Texas,27
2020-03-12,Utah,3
2020-03-12,Vermont,2
2020-03-12,Virginia,12
2020-03-12,Washington,406
2020-03-12,West Virginia,0
2020-03-12,Wisconsin,8
2020-03-12,Wyoming,1
2020-03-13,Alabama,8
2020-03-13,Alaska,1
2020-03-13,Arizona,9
2020-03-13,Arkansas,0
2020-03-13,California,279
2020-03-13,Colorado,78
2020-03-13,Connecticut,11
2020-03-13,Delaware,4
2020-03-13,Florida,45
2020-03-13,Georgia,42
2020-03-13,Hawaii,2
2020-03-13,Idaho,0
2020-03-13,Illinois,46
2020-03-13,Indiana,13
2020-03-13,Iowa,17
2020-03-13,Kansas,6
2020-03-13,Kentucky,12
2020-03-13,Louisiana,29
2020-03-13,Maine,1
2020-03-13,Maryland,18
2020-03-13,Massachusetts,222
2020-03-13,Michigan,22
2020-03-13,Minnesota,10
2020-03-13,Mississippi,4
2020-03-13,Missouri,5
2020-03-13,Montana,0
2020-03-13,Nebraska,14
2020-03-13,Nevada,18
2020-03-13,New Hampshire,6
2020-03-13,New Jersey,49
2020-03-13,New Mexico,10
2020-03-13,New York,379
2020-03-13,North Carolina,22
2020-03-13,North Dakota,1
2020-03-13,Ohio,12
2020-03-13,Oklahoma,3
2020-03-13,Oregon,30
2020-03-13,Pennsylvania,41
2020-03-13,Rhode Island,3
2020-03-13,South Carolina,8
2020-03-13,South Dakota,8
2020-03-13,Tennessee,26
2020-03-13,Texas,44
2020-03-13,Utah,7
2020-03-13,Vermont,2
2020-03-13,Virginia,26
2020-03-13,Washington,503
2020-03-13,West Virginia,0
2020-03-13,Wisconsin,19
2020-03-13,Wyoming,1
2020-03-14,Alabama,15
2020-03-14,Alaska,1
2020-03-14,Arizona,12
2020-03-14,Arkansas,3
2020-03-14,California,334
2020-03-14,Colorado,103
2020-03-14,Connecticut,23
2020-03-14,Delaware,6
2020-03-14,Florida,64
2020-03-14,Georgia,73
2020-03-14,Hawaii,4
2020-03-14,Idaho,2
2020-03-14,Illinois,64
2020-03-14,Indiana,16
2020-03-14,Iowa,17
2020-03-14,Kansas,8
2020-03-14,Kentucky,16
2020-03-14,Louisiana,73
2020-03-14,Maine,1
2020-03-14,Maryland,20
2020-03-14,Massachusetts,295
2020-03-14,Michigan,35
2020-03-14,Minnesota,21
2020-03-14,Mississippi,6
2020-03-14,Missouri,7
2020-03-14,Montana,4
2020-03-14,Nebraska,18
2020-03-14,Nevada,20
2020-03-14,New Hampshire,7
2020-03-14,New Jersey,69
2020-03-14,New Mexico,13
2020-03-14,New York,532
2020-03-14,North Carolina,32
2020-03-14,North Dakota,1
2020-03-14,Ohio,26
2020-03-14,Oklahoma,4
2020-03-14,Oregon,36
2020-03-14,Pennsylvania,47
2020-03-14,Rhode Island,20
2020-03-14,South Carolina,19
2020-03-14,South Dakota,8
2020-03-14,Tennessee,32
2020-03-14,Texas,60
2020-03-14,Utah,8
2020-03-14,Vermont,5
2020-03-14,Virginia,37
2020-03-14,Washington,603
2020-03-14,West Virginia,0
2020-03-14,Wisconsin,27
2020-03-14,Wyoming,2
2020-03-15,Alabama,28
2020-03-15,Alaska,1
2020-03-15,Arizona,12
2020-03-15,Arkansas,3
2020-03-15,California,374
2020-03-15,Colorado,136
2020-03-15,Connecticut,24
2020-03-15,Delaware,6
2020-03-15,Florida,100
2020-03-15,Georgia,99
2020-03-15,Hawaii,6
2020-03-15,Idaho,4
2020-03-15,Illinois,66
2020-03-15,Indiana,20
2020-03-15,Iowa,18
2020-03-15,Kansas,8
2020-03-15,Kentucky,18
2020-03-15,Louisiana,87
2020-03-15,Maine,2
2020-03-15,Maryland,24
2020-03-15,Massachusetts,363
2020-03-15,Michigan,45
2020-03-15,Minnesota,21
2020-03-15,Mississippi,6
2020-03-15,Missouri,8
2020-03-15,Montana,6
2020-03-15,Nebraska,17
2020-03-15,Nevada,20
2020-03-15,New Hampshire,7
2020-03-15,New Jersey,72
2020-03-15,New Mexico,13
2020-03-15,New York,633
2020-03-15,North Carolina,33
2020-03-15,North Dakota,1
2020-03-15,Ohio,30
2020-03-15,Oklahoma,4
2020-03-15,Oregon,36
2020-03-15,Pennsylvania,47
2020-03-15,Rhode Island,20
2020-03-15,South Carolina,19
2020-03-15,South Dakota,8
2020-03-15,Tennessee,32
2020-03-15,Texas,64
2020-03-15,Utah,18
2020-03-15,Vermont,5
2020-03-15,Virginia,37
2020-03-15,Washington,603
2020-03-15,West Virginia,0
2020-03-15,Wisconsin,28
2020-03-15,Wyoming,2
2020-03-16,Alabama,36
2020-03-16,Alaska,1
2020-03-16,Arizona,18
2020-03-16,Arkansas,3
2020-03-16,California,533
2020-03-16,Colorado,161
2020-03-16,Connecticut,41
2020-03-16,Delaware,8
2020-03-16,Florida,101
2020-03-16,Georgia,121
2020-03-16,Hawaii,8
2020-03-16,Idaho,4
2020-03-16,Illinois,83
2020-03-16,Indiana,25
2020-03-16,Iowa,23
2020-03-16,Kansas,11
2020-03-16,Kentucky,21
2020-03-16,Louisiana,115
2020-03-16,Maine,17
2020-03-16,Maryland,42
2020-03-16,Massachusetts,512
2020-03-16,Michigan,76
2020-03-16,Minnesota,53
2020-03-16,Mississippi,12
2020-03-16,Missouri,13
2020-03-16,Montana,6
2020-03-16,Nebraska,18
2020-03-16,Nevada,45
2020-03-16,New Hampshire,17
2020-03-16,New Jersey,176
2020-03-16,New Mexico,21
2020-03-16,New York,961
2020-03-16,North Carolina,39
2020-03-16,North Dakota,1
2020-03-16,Ohio,50
2020-03-16,Oklahoma,10
2020-03-16,Oregon,39
2020-03-16,Pennsylvania,79
2020-03-16,Rhode Island,21
2020-03-16,South Carolina,30
2020-03-16,South Dakota,10
2020-03-16,Tennessee,52
2020-03-16,Texas,85
2020-03-16,Utah,28
2020-03-16,Vermont,12
2020-03-16,Virginia,49
2020-03-16,Washington,779
2020-03-16,West Virginia,0
2020-03-16,Wisconsin,48
2020-03-16,Wyoming,2
2020-03-17,Alabama,51
2020-03-17,Alaska,4
2020-03-17,Arizona,20
2020-03-17,Arkansas,3
2020-03-17,California,617
2020-03-17,Colorado,183
2020-03-17,Connecticut,68
2020-03-17,Delaware,16
2020-03-17,Florida,190
2020-03-17,Georgia,146
2020-03-17,Hawaii,10
2020-03-17,Idaho,8
2020-03-17,Illinois,161
2020-03-17,Indiana,30
2020-03-17,Iowa,23
2020-03-17,Kansas,18
2020-03-17,Kentucky,26
2020-03-17,Louisiana,196
2020-03-17,Maine,26
2020-03-17,Maryland,60
2020-03-17,Massachusetts,760
2020-03-17,Michigan,90
2020-03-17,Minnesota,59
2020-03-17,Mississippi,21
2020-03-17,Missouri,22
2020-03-17,Montana,8
2020-03-17,Nebraska,23
2020-03-17,Nevada,55
2020-03-17,New Hampshire,26
2020-03-17,New Jersey,250
2020-03-17,New Mexico,23
2020-03-17,New York,1407
2020-03-17,North Carolina,62
2020-03-17,North Dakota,3
2020-03-17,Ohio,67
2020-03-17,Oklahoma,17
2020-03-17,Oregon,66
2020-03-17,Pennsylvania,112
2020-03-17,Rhode Island,23
2020-03-17,South Carolina,47
2020-03-17,South Dakota,11
2020-03-17,Tennessee,74
2020-03-17,Texas,111
2020-03-17,Utah,39
2020-03-17,Vermont,12
2020-03-17,Virginia,67
2020-03-17,Washington,955
2020-03-17,West Virginia,0
2020-03-17,Wisconsin,73
2020-03-17,Wyoming,11
2020-03-18,Alabama,61
2020-03-18,Alaska,9
2020-03-18,Arizona,27
2020-03-18,Arkansas,4
2020-03-18,California,793
2020-03-18,Colorado,216
2020-03-18,Connecticut,96
2020-03-18,Delaware,19
2020-03-18,Florida,306
2020-03-18,Georgia,197
2020-03-18,Hawaii,15
2020-03-18,Idaho,9
2020-03-18,Illinois,272
2020-03-18,Indiana,38
2020-03-18,Iowa,38
2020-03-18,Kansas,22
2020-03-18,Kentucky,28
2020-03-18,Louisiana,257
2020-03-18,Maine,35
2020-03-18,Maryland,85
2020-03-18,Massachusetts,1019
2020-03-18,Michigan,159
2020-03-18,Minnesota,77
2020-03-18,Mississippi,34
2020-03-18,Missouri,35
2020-03-18,Montana,10
2020-03-18,Nebraska,24
2020-03-18,Nevada,55
2020-03-18,New Hampshire,37
2020-03-18,New Jersey,397
2020-03-18,New Mexico,28
2020-03-18,New York,2507
2020-03-18,North Carolina,104
2020-03-18,North Dakota,6
2020-03-18,Ohio,89
2020-03-18,Oklahoma,17
2020-03-18,Oregon,75
2020-03-18,Pennsylvania,155
2020-03-18,Rhode Island,33
2020-03-18,South Carolina,60
2020-03-18,South Dakota,11
2020-03-18,Tennessee,100
2020-03-18,Texas,197
2020-03-18,Utah,47
2020-03-18,Vermont,13
2020-03-18,Virginia,79
2020-03-18,Washington,1022
2020-03-18,West Virginia,1
2020-03-18,Wisconsin,111
2020-03-18,Wyoming,16
2020-03-19,Alabama,88
2020-03-19,Alaska,12
2020-03-19,Arizona,45
2020-03-19,Arkansas,4
2020-03-19,California,983
2020-03-19,Colorado,278
2020-03-19,Connecticut,157
2020-03-19,Delaware,30
2020-03-19,Florida,432
2020-03-19,Georgia,282
2020-03-19,Hawaii,15
2020-03-19,Idaho,23
2020-03-19,Illinois,416
2020-03-19,Indiana,60
2020-03-19,Iowa,44
2020-03-19,Kansas,35
2020-03-19,Kentucky,31
2020-03-19,Louisiana,344
2020-03-19,Maine,39
2020-03-19,Maryland,107
2020-03-19,Massachusetts,1297
2020-03-19,Michigan,304
2020-03-19,Minnesota,89
2020-03-19,Mississippi,50
2020-03-19,Missouri,56
2020-03-19,Montana,10
2020-03-19,Nebraska,29
2020-03-19,Nevada,84
2020-03-19,New Hampshire,37
2020-03-19,New Jersey,633
2020-03-19,New Mexico,35
2020-03-19,New York,4203
2020-03-19,North Carolina,152
2020-03-19,North Dakota,19
2020-03-19,Ohio,119
2020-03-19,Oklahoma,44
2020-03-19,Oregon,88
2020-03-19,Pennsylvania,206
2020-03-19,Rhode Island,44
2020-03-19,South Carolina,80
2020-03-19,South Dakota,14
2020-03-19,Tennessee,132
2020-03-19,Texas,303
2020-03-19,Utah,62
2020-03-19,Vermont,13
2020-03-19,Virginia,102
2020-03-19,Washington,1223
2020-03-19,West Virginia,2
2020-03-19,Wisconsin,159
2020-03-19,Wyoming,18
2020-03-20,Alabama,115
2020-03-20,Alaska,15
2020-03-20,Arizona,68
2020-03-20,Arkansas,4
2020-03-20,California,1244
2020-03-20,Colorado,364
2020-03-20,Connecticut,194
2020-03-20,Delaware,39
2020-03-20,Florida,564
2020-03-20,Georgia,457
2020-03-20,Hawaii,36
2020-03-20,Idaho,36
2020-03-20,Illinois,418
2020-03-20,Indiana,86
2020-03-20,Iowa,45
2020-03-20,Kansas,48
2020-03-20,Kentucky,64
2020-03-20,Louisiana,530
2020-03-20,Maine,54
2020-03-20,Maryland,149
2020-03-20,Massachusetts,1684
2020-03-20,Michigan,471
